ID;Title;EpisodeTitle;Season;Episode;Year;EndYear;Budget (EUR);Gross (EUR);FilmingDays;Keywords;Language;Rating;Duration
828466;Game of Thrones;The Dance of Dragons;5;9;2011;2011;7033750;;;ambush*amphitheatre*book*brothel*burned-at-the-stake*dragon-riding*fight-to-the-death*horse-on-fire*human-sacrifice*seller;;9.4;
828467;Game of Thrones;The Door;6;5;2011;2011;;;;black*candle*election*female-nudity*fire*intrigue*knife*male-bare-butt*male-nudity*male-pubic-hair*male-rear-nudity*pubic-hair*sea*snow*sword*theater*theater-play*topless-female-nudity*undead*winter;English;9.7;
828468;Game of Thrones;The Ghost of Harrenhal;2;5;2011;2011;7033750;;;armor*brutality*girl-disguised-as-boy*helmet*marriage-proposal*murder*oath*snowy-landscape*soldier*spear*sword*three-wishes*violence;English;8.8;
828469;Game of Thrones;The Gift;5;7;2011;2011;7033750;;;arena*assault*death-of-recurring-character*deathbed*female-frontal-nudity*funeral*gift*jail*poison*punishment*sex-scene*slave-auction*slavery*temple*winter;;9.0;
828470;Game of Thrones;The House of Black and White;5;2;2011;2011;7033750;;;ale*beheading*colour-in-episode-title*garden*giant-statue*inn*learning-to-read*mask*pigeon*rebellion*vote;;8.5;
828471;Game of Thrones;The Kingsroad;1;2;2011;2011;7033750;;148;abuse*abuse-of-power*animal-bite*armor*assassination-attempt*boy*brutality*bully*campfire*cowgirl-sex-position*dead-child*dire-wolf*dragon*dragon's-egg*execution*fall*false-accusation*handshake*helmet*intrigue*killing-a-pet*killing-an-animal*little-sister*male-bonding*male-frontal-nudity*male-nudity*pet-killed*public-humiliation*queen*rear-entry-sex*sex-lesson*sex-scene*soldier*spear*stick-fight*sword*two-word-episode-title*violence*wolf-attack*wolf-cub*woman-on-top;English;8.7;
828472;Game of Thrones;The Laws of Gods and Men;4;6;2011;2011;8206042;;;asexual*bank*bathtub*betrayal*biting*cage*caged-human*dog*dragon*female-nudity*goat*intrigue*judge*kennel*murder-trial*testimony*trial*woman-on-top;English;9.7;
828473;Game of Thrones;The Lion and the Rose;4;2;2011;2011;8206042;;;animal-in-episode-title*burned-at-the-stake*chase*dead-bird*death-by-poison*death-of-title-character*dove*killed-by-a-dog*murder-at-a-wedding*pie*play*poisoning*pouring-a-drink-on-someone's-head*spilled-wine*wedding*wedding-ceremony*wedding-gift*wedding-reception*wine;English;9.7;
828474;Game of Thrones;The Mountain and the Viper;4;8;2011;2011;8206042;;;bathing-in-a-river*betrayal*crushed-head*eyes-gouged-out*female-nudity*head-crushing*intrigue*murder-disguised-as-suicide*river*sewing*snake-in-episode-title*subservient-male*trial-by-combat;English;9.7;
828475;Game of Thrones;The Night Lands;2;2;2011;2011;7033750;;;armor*bare-butt*bare-chested-male*bloody-body-of-child*boss-subordinate-relationship*boy-king*brothel*brothel-keeper*brother-sister-incest*brutality*child-murder*false-identity*fellatio*female-frontal-nudity*female-full-frontal-nudity*female-nudity*female-pubic-hair*female-rear-nudity*girl-disguised-as-boy*hand-on-woman's-crotch*helmet*infanticide*luxury-brothel*male-nudity*male-pubic-hair*missionary-position*oral-sex*passionate-kiss*pirate*polygamy*pregnant-woman*prostitute*pubic-hair*religion*reverse-cowgirl-sex-position*severed-head*sex-on-bed*sex-on-table*sex-scene*sexual-innuendo*soldier*spear*spying-on-couple-having-sex*spying-on-someone*sword*talking-during-sex*undressing*veiled-threat*violence;English;8.5;
