ActorID;FirstName;LastName;IsMale;BirthYear;BirthLocation;DeathYear;DeathLocation
1223675;Julek;Neumann;True;;;;
473403;Loreta;Ezerina;False;;;;
1667818;Johnnie (I);Stewart;True;1917;Tonbridge, Kent, England, UK;2005;England, UK
445003;Dorothy;Eliason;False;;;;
1721607;Daniel;Tuite;True;;;;
1202003;Hannah (I);Murray;False;1989;Bristol, England, UK;;
683884;Maria;Herpich;False;;;;
463956;Ivailo (I);Dimitrov;True;;;;
1791035;Ursula (I);von Wiese;False;1905;Berlin;2002;Zrich, Zrich, Switzerland
142619;Angela;Beal;False;;;;
1077740;;Mashiro;False;;;;
1013836;Kelly (III);Long;False;;;;
821604;Jhannes Haukur;Jhannesson;True;;;;
442031;Michelle;Denlinger;False;;;;
1086092;Eddie (XIII);Martinez;True;;;;
462394;Emeralda;Escobar;True;;;;
1101804;Gerald;McMullan;True;;;;
1492601;Skylin;Royal-Black;True;;;;
569052;Paul (V);Garrett;True;;;;
1191302;Garry;Mountaine;True;;;;
476705;Lenny;Fairbairn;True;;;;
1211603;Veronica;Nakayo;False;;;;
669226;Patti;Hefflin;False;;;;
346820;James;Conaboy;True;;;;
515985;Neill;Fleming;True;;;;
1254432;Elizabeth;O'Brick;False;;;;
1822354;Mary Ann;Weema;False;;;;
819873;Rahel Fiona;Juschka;False;;;;
1084688;Stuart (IV);Martin;True;;;;
1496827;Jos Luis;Ruiz Bartolom;True;;;;
1802761;Frederick;Walker;True;;;;
26508;Adewale;Akinnuoye-Agbaje;True;1967;Islington, London, England, UK;;
230651;Sean (I);Buckley;True;;;;
390269;Hugo;Culverhouse;True;;;;
755776;Hugh (I);Irvine;True;;;;
1055610;Nicole (I);Magny;False;;;;
507268;Danny (III);Finn;True;;;;
238842;Tom (III);Brooke;True;1978;London, England, UK;;
1417807;Sam;Redford;True;;;;
1497656;Nikovich;Sammut;True;;;;
956878;Elisa;Lasowski;False;;;;
1162976;Deirdre;Monaghan;False;;;;
1629784;Mia;Soteriou;False;;;;
1254432;Stanley;Nzessi;True;;;;
1223758;Patrick (I);O'Kane;True;1965;Belfast, Northern Ireland, UK;;
539113;Hannah Victoria;Franklin;False;;;;
481692;Drew (II);Dorsey;False;;;;
138433;Joan (II);Barrett;False;;;;
488938;Makram;Fehri;True;;;;
458846;Heather (I);Dickson;False;;;;
709987;Maggie (III);Hayes;False;;;;
254466;Sandy (V);Campbell;False;;;;
216426;Robert;Boroje;True;;;;
1078033;Carlton G.;McBeth;True;;;;
712576;Anthony;Hollingsworth-Ellary;True;;;;
85527;Mike;Arotsky;True;;;;
1083351;Rafael (XVIII);Martnez;True;;;;
850722;Ellie;Kendrick;False;1990;Greenwich, London, England, UK;;
1119628;Tobias;Menzies;True;1974;London, England, UK;;
686300;Toni Vangen;Hansen;True;;;;
1077740;Harry;Mantakos;True;;;;
1092128;Barry;McGovern;True;1948;Dublin, Ireland;;
1085990;Tana;Mazuranic;False;;;;
547037;Vladimir 'Furdo';Furdik;True;;;;
68538;Nonso;Anozie;True;1979;London, England, UK;;
90054;Bobby;Asghar;True;;;;
1380891;Joe (IV);Purcell;True;;;;
1710493;Marie-Dominique;Toussaint;False;;;;
480191;Emilio;Doorgasingh;True;;;;
582981;Amira;Ghazalla;False;;;;
1859542;Nell;Williams;False;;;;
91425;Curtis-Lee;Ashqar;True;;;;
775050;Marcos;James;True;;;;
193974;Nicholas;Blane;True;;;;
1791035;Max (I);von Sydow;True;1929;Lund, Skne ln, Sweden;;
821604;Dana;Kabessa;False;;;;
548719;David (I);Fynn;True;;;;
1026334;Filip;Lozic;True;1989;Zagreb, Croatia;;
328955;Sylvie;Clami;False;;;;
1079388;Joseph (IX);Marshall;True;;;;
1808092;Leon;Walsh;True;;;;
693679;Steve (I);Harper;True;;;;
462394;Stephen;Dillane;True;1957;London, England, UK;;
1423524;Cicci;Renstrm;False;;;;
544564;Rila;Fukushima;False;;;;
262083;Mishal Lopes;Cardozo;True;;;;
1162877;Jason;Momoa;True;1979;Honolulu, Hawaii, USA;;
106628;Snezana;Babic-Djerdan;False;;;;
1330190;Roo (II);Phoria;False;;;;
860696;Paul (III);Kennedy;True;;;;
1652150;Mark (VI);Stanley;True;;;;
1097330;Fintan;McKeown;True;;;;
243465;Dave (LXXXVII);Brown;True;;;;
138433;Thijs;Bax;True;;;;
1061393;Irma;Mali;False;1976;Alytus, Lithuania;;
1784568;Christian;Vit;True;;;;
990684;Jiaoying;Liang;False;;;;
1170888;Monique;Moon;True;;;;
778779;Tracey;Jarossy;False;;;;
194024;Shaun;Blaney;True;;;;
1700555;Jerzy;Swietlik;True;;;;
1081457;Pedro J.;Martos;True;;;;
1649331;Patrick;Tafua;True;;;;
1078701;Robert;Marshall III;True;;;;
123596;Peter;Ballance;True;;;;
138357;Zaid (II);Bawab;True;;;;
709083;Nao;Hayakawa;False;;;;
347717;Elaine (III);Collins;False;;;;
1084688;Joshua;Mayes-Cooper;True;;;;
988656;Chris;Lennard;True;;;;
550044;Elyes;Gabel;True;1983;London, England, UK;;
849608;Stephanie Olah;Kelly;False;;;;
1084466;Ryan (XVI);Martin;True;;;;
1099117;Jason (III);McLaughlin;True;;;;
243465;Mark;Byatt;True;;;;
716428;Peter (IV);Horn;True;;;;
1225767;Kate;O'Regan;False;;;;
980968;Deon;Lee-Williams;True;;;;
1682329;Michaela;Sttov;False;;;;
1455662;Kristy (III);Robinson;False;;;;
1156935;Chuku;Modu;True;;;;
618723;Burn;Gorman;True;1974;Hollywood, Los Angeles, California, USA;;
1693763;Hilary;Tindall;False;1938;Manchester, Lancashire, England, UK;1992;Selbourne, England, UK
1255979;Aifric;O'Donnell;False;;;;
1197905;Michle;Muller;False;;;;
643220;Raymond;Griffiths;True;;;;
1680451;Freddie;Stroma;True;1987;London, England, UK;;
1500814;Ingrid (III);Sanchez;True;;;;
582103;Kathleen;Gerard;False;;;;
1088260;Romo De Melo;Martins;True;;;;
1335485;Sarita;Piotrowski;False;;;;
540955;Cassie (II);Friel;False;;;;
1378715;Robert (I);Pugh;True;1950;Aberdare, Glamorgan, Wales, UK;;
473075;Edward;Dogliani;True;;;;
1375204;Eric;Propp;True;;;;
797602;Daniel (XXXIII);Johnson;True;;;;
1085990;Jhil;McEntyre;False;;;;
1101804;Gabrielle;McNally;False;;;;
1049156;Sam;Mackay;True;;;;
686300;Pedro Beltran;Herrera;True;;;;
1612648;C.C.;Smiff;True;;;;
233101;Richard;Buick;True;1976;Ballymena, Northern Ireland, UK;;
488938;Sarah;Feinbloom;False;;;;
1658838;Isabella;Steinbarth;False;;;;
1667818;Noah (I);Taylor;True;1969;London, England, UK;;
1229816;Kirsty (III);Nicholls;False;;;;
447552;Wren Ros;Elliot-Sloan;True;;;;
1064136;Kamiya;Mami;False;;;;
346820;Cecilia;Crdova;False;;;;
555851;Brahm;Gallagher;True;;;;
142854;Kiechia;Bean;False;;;;
1283366;Petra;Paroubkov;False;;;;
698686;Richard (VI);Harrison;True;;;;
587545;Allan;Gildea;True;;;;
252336;Emma (III);Bryant;False;;;;
481372;Richard (I);Dormer;True;1969;Portadown, County Armagh, Northern Ireland, UK;;
452420;Amalia;Enrquez;False;;;;
163376;Paul (I);Bentley;True;;;;
1081704;Mrs.;Martin;False;;;;
1221005;Victor;Navarro;True;;;;
1629784;John;Solari;True;;;;
1555395;Rea;Separovic;False;;;;
1078701;Ross (I);Matthews;True;1944;Melbourne, Victoria, Australia;;
1079388;Rory (II);McCallum;True;;;;
980968;Hazel;Leech;False;;;;
1538779;Rebecca (XIV);Scott;False;;;;
1466174;Alecia;Rodgers;False;;;;
1599768;Alisdair;Simpson;True;;;;
801818;Ron (VII);Johnson;True;1964;Minneapolis, Minnesota, USA;;
236894;Rob;Brockman;True;;;;
1220917;Malgorzata;Neumann;False;;;;
242326;Andy (XXXVIII);Brown;True;;;;
1825141;Sandra;Weller;False;;;;
333782;Andrei;Claude;True;1979;Malta;;
1547824;Cristina;Seawright;False;;;;
444488;Malcolm;Dent;True;;;;
716962;Kevin;Horsham;True;;;;
1079739;Lord;Maturan;True;;;;
1870537;Steve (XXII);Wilson;True;1973;Dublin, Ireland;;
963346;Pixie;Le Knot;False;;;;
233101;Nawanun;Bumroongruek;False;;;;
419987;Ian (XXV);Davies;True;;;;
1424588;Chris (II);Reilly;True;;;;
512538;Micheal;Fitzgerald;True;;;;
1817173;Calvin;Warrington-Heasman;True;;;;
319008;Susan;Christie;False;;;;
1672050;Dennis (II);Stokes;True;;;;
676212;Jefferson;Hall;True;;;;
1853783;Andrew (I);Wilde;True;;;;
1038116;Finbar;Lynch;True;1959;Dublin, Ireland;;
693679;Cordelia;Hill;False;;;;
264735;Colin;Carnegie;True;;;;
248672;Shane;Browne;True;;;;
1226205;Wilma;Ngale Rose;False;;;;
450117;Simon Blood;DeVay;True;1969;Chatham, England, UK;;
241076;Phillip;Burnley;True;;;;
106628;Colin;Azzopardi;True;;;;
1083613;Manami;Marutaka;False;;;;
1721121;Will;Tudor;True;;;;
1565371;Honey;Shain;False;;;;
713556;Aubrey;Haynie;True;;;;
