range1;range2;count
B: [1,000,000-5,000,000[;G: < 50;4
G: [500-1,000[;S: 4;4
R: [2h30 - 3h[;F: [135-150[;4
B: [1,000-5,000[;G: [100-500[;3
B: < 50;G: [1,000-5,000[;2
G: [100-500[;S: 6;38
B: [10,000,000-50,000,000[;G: [10,000-50,000[;25
G: [5,000,000-10,000,000[;S: 5;116
F: [180-190[;B: [100,000-500,000[;9
B: >= 50,000,000;G: [500-1,000[;0
G: [50,000-100,000[;S: 8;333
G: [10,000-50,000[;S: 0;0
F: < 5;B: < 50;26
B: [1,000,000-5,000,000[;G: [5,000,000-10,000,000[;277
B: [100-500[;G: [5,000-10,000[;0
F: [75-90[;B: [1,000-5,000[;22
F: < 5;B: [1,000,000-5,000,000[;11
G: >= 500,000,000;S: 6;3
F: [135-150[;B: [100-500[;6
F: [45-60[;B: < 50;2
B: < 50;G: [50-100[;0
G: [50,000,000-100,000,000[;S: 8;256
B: [50-100[;G: [5,000-10,000[;0
R: [45min - 1h[;F: [120-135[;14
R: >= 4h;F: [5-15[;1
R: [1h45 - 2h[;F: [30-45[;94
R: [3h - 4h[;F: [15-30[;3
B: [100,000-500,000[;G: [10,000,000-50,000,000[;38
F: [120-135[;B: [100,000-500,000[;23
G: [10,000-50,000[;S: 3;20
G: [50,000,000-100,000,000[;S: 10;2
G: [1,000,000-5,000,000[;S: 0;0
B: [500,000-1,000,000[;G: [1,000,000-5,000,000[;172
R: [1h45 - 2h[;F: [45-60[;119
G: [100,000,000-500,000,000[;S: 4;5
R: [1h - 1h15[;F: [105-120[;8
R: [1h45 - 2h[;F: [120-135[;44
G: [5,000,000-10,000,000[;S: 2;3
R: < 5min;F: [150-165[;0
R: [30min - 45min[;F: [120-135[;5
F: [90-105[;B: [500,000-1,000,000[;38
R: [15min - 30min[;F: [60-75[;41
F: [5-15[;B: [5,000,000-10,000,000[;2
G: [100,000,000-500,000,000[;S: 8;339
F: [180-190[;B: [50-100[;1
F: [120-135[;B: >= 50,000,000;85
B: [1,000-5,000[;G: [50,000,000-100,000,000[;0
B: [5,000,000-10,000,000[;G: [500,000-1,000,000[;81
F: [150-165[;B: [1,000-5,000[;12
G: [5,000-10,000[;S: 0;0
B: [50,000-100,000[;G: < 50;0
G: [50-100[;S: 1;0
R: >= 4h;F: [120-135[;1
B: [10,000,000-50,000,000[;G: [1,000-5,000[;7
B: [10,000-50,000[;G: [100-500[;3
F: [120-135[;B: [5,000,000-10,000,000[;28
B: [500,000-1,000,000[;G: [100,000-500,000[;98
F: [60-75[;B: [100,000-500,000[;125
B: [10,000,000-50,000,000[;G: [500-1,000[;0
F: [75-90[;B: [500-1000[;7
B: [100-500[;G: [500-1,000[;2
R: [3h - 4h[;F: [165-180[;1
B: [50,000-100,000[;G: [100,000,000-500,000,000[;2
F: [135-150[;B: [10,000,000-50,000,000[;52
B: [100-500[;G: [100,000-500,000[;0
G: [10,000-50,000[;S: 2;1
G: [10,000,000-50,000,000[;S: 7;1132
R: [1h45 - 2h[;F: [105-120[;43
B: [10,000-50,000[;G: [50,000-100,000[;31
G: [5,000-10,000[;S: 7;233
R: [2h30 - 3h[;F: [150-165[;10
R: [1h15 - 1h30[;F: [5-15[;75
B: >= 50,000,000;G: >= 500,000,000;126
F: [90-105[;B: [5,000-10,000[;17
R: [15min - 30min[;F: [45-60[;26
F: [75-90[;B: [100,000-500,000[;34
G: [10,000-50,000[;S: 7;758
F: [150-165[;B: [50-100[;3
R: [2h30 - 3h[;F: [30-45[;8
B: [50-100[;G: [50,000-100,000[;0
B: [50,000-100,000[;G: [5,000,000-10,000,000[;4
B: [100,000-500,000[;G: < 50;0
G: < 50;S: 3;1
R: [1h30 - 1h45[;F: >= 190;212
B: [5,000-10,000[;G: [50,000-100,000[;8
G: [100-500[;S: 8;30
G: [500,000-1,000,000[;S: 7;595
G: [1,000,000-5,000,000[;S: 5;263
R: [45min - 1h[;F: < 5;22
B: [5,000-10,000[;G: < 50;0
R: [1h15 - 1h30[;F: [135-150[;11
F: [60-75[;B: [50,000-100,000[;37
F: [60-75[;B: [1,000,000-5,000,000[;297
G: [50,000,000-100,000,000[;S: 6;190
R: [2h15 - 2h30[;F: < 5;6
R: [1h15 - 1h30[;F: [120-135[;36
R: [2h30 - 3h[;F: [120-135[;2
G: [100,000-500,000[;S: 1;0
B: [1,000-5,000[;G: [10,000,000-50,000,000[;0
R: [3h - 4h[;F: < 5;6
R: [2h15 - 2h30[;F: [105-120[;11
R: < 5min;F: [180-190[;2
F: [15-30[;B: [100,000-500,000[;304
R: [45min - 1h[;F: [15-30[;35
F: [5-15[;B: [500,000-1,000,000[;24
F: [165-180[;B: [100-500[;1
R: [45min - 1h[;F: [105-120[;7
F: [75-90[;B: [50-100[;1
F: [150-165[;B: [100,000-500,000[;12
B: [100,000-500,000[;G: [50-100[;0
F: [30-45[;B: [10,000-50,000[;117
R: < 5min;F: [120-135[;1
B: [500-1000[;G: [100,000-500,000[;1
G: [50,000,000-100,000,000[;S: 0;0
B: [1,000,000-5,000,000[;G: [10,000-50,000[;162
F: [15-30[;B: [1,000,000-5,000,000[;239
R: [3h - 4h[;F: [180-190[;0
F: [15-30[;B: [50,000-100,000[;119
R: [30min - 45min[;F: [15-30[;31
G: [50-100[;S: 8;14
F: < 5;B: >= 50,000,000;5
F: [180-190[;B: [10,000-50,000[;14
F: [30-45[;B: [1,000-5,000[;84
F: [180-190[;B: [5,000-10,000[;8
R: [2h - 2h15[;F: [75-90[;46
B: [10,000-50,000[;G: [50,000,000-100,000,000[;0
G: [500,000-1,000,000[;S: 8;443
G: [5,000-10,000[;S: 10;1
B: [50-100[;G: [5,000,000-10,000,000[;0
R: [2h - 2h15[;F: [180-190[;4
G: [500,000-1,000,000[;S: 3;8
R: < 5min;F: [105-120[;1
R: [1h - 1h15[;F: [90-105[;21
F: [135-150[;B: [500-1000[;3
F: [150-165[;B: [100-500[;3
B: [100,000-500,000[;G: [5,000-10,000[;26
B: >= 50,000,000;G: [5,000-10,000[;0
G: [10,000,000-50,000,000[;S: 4;56
R: >= 4h;F: [75-90[;2
G: [500-1,000[;S: 7;46
G: [50,000-100,000[;S: 4;58
B: [500,000-1,000,000[;G: >= 500,000,000;0
G: >= 500,000,000;S: 1;0
B: [100,000-500,000[;G: [500-1,000[;6
F: >= 190;B: [100,000-500,000[;190
R: >= 4h;F: [105-120[;2
B: [50,000-100,000[;G: [100,000-500,000[;32
B: [5,000,000-10,000,000[;G: [500-1,000[;0
F: [180-190[;B: [5,000,000-10,000,000[;8
R: [1h15 - 1h30[;F: [75-90[;63
R: [1h30 - 1h45[;F: [30-45[;515
G: [100,000-500,000[;S: 8;970
